raw_class,raw_type,canonical_type,canonical_class,status,confidence,notes
,1/4 Ton,aaaaaaaaaa,sssssssssssss,,,
Quarter Tonner,1/4 Ton,aaaaaaaaaa,sssssssssssss,,,
Quarter Tonner,1/4 Tonner,aaaaaaaaaa,sssssssssssss,,,
Quarter Tonner,1/4 tonner,aaaaaaaaaa,sssssssssssss,,,
6 Metre,100 SQ METRE,aaaaaaaaaa,sssssssssssss,,,
,10M class,aaaaaaaaaa,sssssssssssss,,,
,1190  sport,aaaaaaaaaa,sssssssssssss,,,
,1894 Thame,aaaaaaaaaa,sssssssssssss,,,
,2011 Botin TP52,aaaaaaaaaa,sssssssssssss,,,
6 Metre,22 Square Metre,aaaaaaaaaa,sssssssssssss,,,
,24 foot li,aaaaaaaaaa,sssssssssssss,,,
,30 Square,aaaaaaaaaa,sssssssssssss,,,
,30 Square Metre,aaaaaaaaaa,sssssssssssss,,,
,30 Square metre,aaaaaaaaaa,sssssssssssss,,,
,31.7,aaaaaaaaaa,sssssssssssss,,,
,316 C,aaaaaaaaaa,sssssssssssss,,,
,375 GL,aaaaaaaaaa,sssssssssssss,,,
,385,aaaaaaaaaa,sssssssssssss,,,
,39 Cruiser,aaaaaaaaaa,sssssssssssss,,,
,40.7,aaaaaaaaaa,sssssssssssss,,,
,420,aaaaaaaaaa,sssssssssssss,,,